postal_code,num_unique_hawker_500m,num_unique_hawker_1km,walking_dist_hawker_m
650318,0,1,1251.0
650310,0,1,1196.0
650317,0,1,1286.0
650316,0,1,1211.0
650327,0,0,1468.0
650324,0,1,1399.0
650322,0,1,1372.0
650323,0,1,1389.0
160040,2,5,94.0
650321,0,1,1340.0
650340,0,0,1697.0
650343,0,0,1559.0
650341,0,0,1606.0
650347,0,0,1655.0
650345,0,0,1701.0
650346,0,0,1627.0
650339,0,0,1731.0
650342,0,0,1550.0
650533,0,1,1014.0
650528,0,0,1163.0
650534,0,1,1096.0
650501,0,0,1928.0
650540,0,0,1300.0
650505,0,0,1762.0
650506,0,0,1833.0
650536,0,0,1165.0
650537,0,1,1179.0
650504,0,0,1879.0
650523,0,0,1297.0
650507,0,0,1756.0
650420,0,1,1197.0
650422,0,1,1144.0
650409,0,0,1411.0
650410,0,0,1419.0
650411,0,0,1414.0
650416,0,1,1300.0
650414,0,1,1333.0
650417,0,1,1283.0
650127,0,1,831.0
650130,0,1,897.0
652194,0,1,1463.0
650136,0,1,885.0
650146,0,2,942.0
650135,0,1,851.0
650139,0,1,785.0
650148,0,2,982.0
650138,0,1,886.0
650131,0,1,957.0
650109,0,0,1373.0
650129,0,1,864.0
650133,0,1,795.0
650128,0,1,790.0
650168,0,2,916.0
650169,1,2,792.0
650166,0,2,1125.0
650175,0,1,778.0
650184,0,1,1046.0
650180,0,1,834.0
650167,0,2,1036.0
653441,1,1,547.0
650177,0,1,849.0
650176,1,1,770.0
650181,0,1,907.0
654443,0,1,757.0
650620,0,1,1312.0
650624,0,1,1221.0
650625,0,1,1149.0
650621,0,1,1260.0
650106,0,1,1319.0
650626,0,1,1132.0
650226,0,0,1715.0
651290,0,0,2467.0
650268,0,0,2392.0
160036,2,8,126.0
650266,0,0,2345.0
650258,0,0,2408.0
650256,0,0,2434.0
650262,0,0,2532.0
650241,0,0,1925.0
652292,0,0,2234.0
653292,0,0,2176.0
650145,0,2,890.0
650161,0,2,1084.0
650211,0,0,1780.0
650203,0,0,1600.0
653293,0,0,2165.0
652293,0,0,2133.0
650216,0,0,1955.0
650224,0,0,1851.0
651293,0,0,2158.0
650209,0,0,1688.0
650210,0,0,1804.0
650204,0,0,1588.0
650207,0,0,1748.0
651296,0,1,1307.0
650297,0,0,1448.0
653296,0,0,1657.0
651291,0,0,2531.0
652290,0,0,2596.0
656290,0,0,2604.0
653291,0,0,2465.0
652291,0,0,2477.0
654291,0,0,2394.0
654290,0,0,2541.0
650291,0,0,2530.0
652288,0,0,2106.0
655289,0,0,2334.0
654289,0,0,2384.0
656289,0,0,2328.0
654288,0,0,2248.0
653288,0,0,2215.0
650369,0,0,1380.0
650363,0,0,1375.0
650308,0,1,956.0
650370,0,1,1236.0
650358,0,0,1503.0
650301,0,1,872.0
650315,0,1,1137.0
650332,0,0,1574.0
650336,0,0,1699.0
650335,0,0,1637.0
650329,0,0,1475.0
650325,0,1,1424.0
650331,0,0,1491.0
650319,0,1,1226.0
650348,0,0,1593.0
650338,0,0,1799.0
650350,0,0,1469.0
650337,0,0,1712.0
650349,0,0,1569.0
652463,1,1,464.0
651463,1,1,399.0
650527,0,0,1208.0
650531,0,1,1038.0
650510,0,0,1904.0
650508,0,0,1840.0
650503,0,0,1833.0
650421,0,1,1114.0
650426,0,1,1009.0
650425,0,1,1109.0
650423,0,1,1051.0
650408,0,0,1465.0
650415,0,0,1357.0
650384,0,0,1796.0
651437,1,1,694.0
650383,0,0,1743.0
650392,0,0,2247.0
650391,0,0,2192.0
653435,1,1,738.0
650386,0,0,1934.0
650393,0,0,2309.0
650385,0,0,1858.0
650395,0,0,2200.0
651194,0,1,1342.0
651453,1,1,579.0
653450,1,1,628.0
652450,1,1,672.0
650116,0,1,1100.0
650113,0,1,1169.0
652451,1,1,537.0
650118,0,1,1045.0
651452,1,1,453.0
650101,0,0,1473.0
650107,0,1,1376.0
650112,0,2,1236.0
