school_name,alp_domain,alp_title,llp_domain1,llp_title
Innova Primary,Interdisciplinary,Creative Problem Solving at Innova Primary School (CPS@IPS),Community Service & Student Leadership,Leading Through Serving
Jiemin Primary,Languages,Journalist-in-Making (JiM),Music & Performing Arts,Aesthetics Alive
Jing Shan Primary,STEM - Sustainability,Green Explorers @ JS,Community Service & Student Leadership,"Flourish @ JS: Character Strengths, Mindfulness and Gratitude in Action"
Junyuan Primary,Languages,Developing Every Pupil into a Confident Communicator,Music & Performing Arts/ Visual Arts & Design ,Arts Alive! 
Jurong Primary,Innovation & Enterprise,"PLAY@JPS  (Passion, Learning, Adapt & Apply, asking whY) ",Community Service & Student Leadership,Every Child A Leader @ JPS (ECAL @ JPS)
Jurong West Primary,Languages,Art of Communication for Personal Excellence ,Sports & Outdoor Education,Experiential Learning of Lifeskills for Personal Excellence
Keming Primary,STEM - Sustainability,INquiry Science Projects Involving Research and Experiments (I.N.S.P.I.R.E. the Scientist in Me),Sports & Outdoor Education,Character Development through Sports
Kheng Cheng School,STEM - Sustainability,Eco-lution,Community Service & Student Leadership,Student Voice & Advocacy (SVA)
Kong Hwa School,Languages,Every Kong Hwaian an Effective Communicator,Sports & Outdoor Education,Exposure-Experience-Excel through Sports
Kranji Primary,STEM - Material Science,Nurturing Joyful Learners through Critical and Inventive Thinking,Sports & Outdoor Education,Developing Champions in Life through Sports
Kuo Chuan Presbyterian Primary,Languages,"E-Cube: Engage, Excite, Express",Visual Arts & Design ,Learning for Life Programme in Visual Art and Design - �Let�s Think Design!�
Lakeside Primary,Interdisciplinary,ThInkers with Heart,Music & Performing Arts,STARS witHeARTs - Shine as Thinkers and Responsible Leaders with the Performing ARTs
Lianhua Primary ,STEM - Sustainability,"Robotics, Information and Technology Education (RITE) @ Lianhua",Sports & Outdoor Education,CHAMP for Life
Maha Bodhi School,Languages,Empathetic Listeners. Effective Communicators. Trailblazing Advocates (ELECTRA@MBS),Music & Performing Arts,Learning through an Ethnic Arts Programme (LEAP)
Maris Stella High (Primary),STEM - Material Science,Materials Around Us,Sports & Outdoor Education,The Marist Sports & Life Skills Experience
Marsiling Primary,Languages,"Spark Ideas, Spark Interest, Spark Action: Igniting A Passion for Purposeful Storytelling (SPARKS@MPS)",Community Service & Student Leadership,"LEAD (Learn, Engage, Absorb, Demonstrate) to Serve @ MPS "
Marymount Convent School,Languages,Grooming Compassionate and Confident Ladies to Advocate for Worthy Causes ,Sports & Outdoor Education,Enhancing Holistic Health through Sports and Outdoor Education - Sports Excellence (SPOEEX) @ Marymount
Mayflower Primary,STEM - Sustainability,STEM@MFPS,Visual Arts & Design ,"LLP@MFPS: Development of Character, Citizenship and 21CC through the Arts"
Mee Toh School,Interdisciplinary,A3 Eco-Citizens@MTS,Sports & Outdoor Education,SENCE @ MTS (Sports Education Nurturing Character Excellence at Mee Toh School)
Meridian Primary,Interdisciplinary,"Nurturing Future Learners, Citizens and Leaders through a whole school Interdisciplinary approach in Eco-Environmental Curriculum",Community Service & Student Leadership,Meridian Values-Based Student Leadership In Action For 21CC
Methodist Girls' School (Primary),Languages,Communication through Service Learning ,Sports & Outdoor Education,Outdoor and Sports Programme at MGS
Montfort Junior,STEM - Sustainability,Montfort STEAM ALP ,Sports & Outdoor Education,Developing Montfortians with CHRISTE values through sports
Nan Chiau Primary,STEM - Health Science,Watch Me SOAR (WMS),Community Service & Student Leadership,EMPOWER@NCPS
Nan Hua Primary,Interdisciplinary,NHPS Thinking Programme,Community Service & Student Leadership,From ME to WE (MEWE)
Nanyang Primary,Innovation & Enterprise,Problem-Solving Through Maker Education,Music & Performing Arts,Building Culture Quotient through Dance
Naval Base Primary ,Interdisciplinary,Constructionist Game Design,Sports & Outdoor Education,Holistic Outdoor Physical Education & Sports (HOPES) Programmes
New Town Primary,Interdisciplinary,scieNcE Alive@NEwTown,Community Service & Student Leadership,A Leader in Every Child
